ticket_id,title,description,category,priority,resolution_steps,resolved_date
OPM-0015,Laptop not powering on,Finance user's Dell Latitude laptop shows no power light; was working yesterday. Charger LED is blinking.,Hardware,P1,"1. Try a known-good charger and power outlet.
2. Perform hard reset: hold power 30 seconds without battery/AC.
3. If still dead, book replacement device from stock.
4. Raise RMA with vendor for the faulty unit.",2024-12-13
OPM-0016,Expensify crashes on startup,"After the latest update, Expensify crashes immediately on launch for user in HR on Windows 10. Event viewer shows faulting module.",Software,P4,"1. Clear the application cache/user profile settings folder.
2. Repair-install the application from the software portal.
3. If crash persists, roll back to previous version.
4. Log a problem record referencing the faulting module for vendor.",2024-02-21
OPM-0017,Nightly job failed on CRMDB database,The ETL batch job on CRMDB failed at step LOAD with deadlock error. Downstream Confluence reports are stale this morning.,Database,P3,"1. Check job logs for the deadlocked session and victim query.
2. Re-run the failed step after confirming no blocking sessions.
3. Add retry-on-deadlock logic to the job (change request).
4. Validate downstream Confluence report freshness with data team.",2025-02-03
OPM-0018,Endpoint flagged with malware on Ubuntu 22.04,AV console flags trojan on Sales user's machine PRN-104; device auto-isolated from network.,Security,P4,"1. Keep device isolated; collect AV detection details.
2. Run full offline scan and remove the detected threat.
3. Verify no lateral movement from the endpoint in EDR logs.
4. Re-image if persistence is suspected; restore user data from backup.",2024-02-21
OPM-0019,Cannot reach internal portal Tableau,"Multiple users report Tableau unreachable from office LAN, browser shows DNS_PROBE_FINISHED_NXDOMAIN. Wi-Fi segment VLAN-20.",Network,P4,"1. Verify DNS resolution with nslookup against corporate DNS.
2. Flush client DNS cache (ipconfig /flushdns).
3. Check VLAN VLAN-20 DNS forwarder configuration.
4. Raise change request to correct forwarder entry if wrong.",2024-09-09
OPM-0020,MFA token not received,User v.rao does not receive MFA push/SMS on registered device after switching to a new phone. Cannot log in to any SSO app.,Access,P3,"1. Verify identity per policy before any MFA change.
2. Remove old device registration from the MFA portal.
3. Guide user through re-enrolling the new device.
4. Test SSO login to one app and confirm closure.",2024-09-28
OPM-0021,Laptop not powering on,Legal user's Dell Latitude laptop shows no power light; was working yesterday. Charger LED is on.,Hardware,P1,"1. Try a known-good charger and power outlet.
2. Perform hard reset: hold power 30 seconds without battery/AC.
3. If still dead, book replacement device from stock.
4. Raise RMA with vendor for the faulty unit.",2024-12-23
OPM-0022,Confluence crashes on startup,"After the latest update, Confluence crashes immediately on launch for user in Sales on macOS 14. Event viewer shows faulting module.",Software,P1,"1. Clear the application cache/user profile settings folder.
2. Repair-install the application from the software portal.
3. If crash persists, roll back to previous version.
4. Log a problem record referencing the faulting module for vendor.",2024-09-27
OPM-0023,Nightly job failed on CRMDB database,The ETL batch job on CRMDB failed at step LOAD with deadlock error. Downstream SAP GUI reports are stale this morning.,Database,P1,"1. Check job logs for the deadlocked session and victim query.
2. Re-run the failed step after confirming no blocking sessions.
3. Add retry-on-deadlock logic to the job (change request).
4. Validate downstream SAP GUI report freshness with data team.",2024-02-22
OPM-0024,Suspicious login alert for m.das,SIEM alert: impossible-travel login for m.das — office login followed by foreign-country login within minutes.,Security,P1,"1. Disable the account immediately pending verification.
2. Contact user via phone to verify recent activity.
3. Reset credentials and revoke active sessions/tokens.
4. Review mailbox rules and audit logs for tampering.",2024-04-24
OPM-0025,Slow network in Bengaluru office,Users at Bengaluru site report very slow file transfers and video calls dropping since morning. Approx 6 users affected.,Network,P2,"1. Check WAN link utilisation on the Bengaluru edge router.
2. Identify top talkers; look for backup jobs running in office hours.
3. Reschedule backup job to off-peak window.
4. Monitor link for 2 hours and confirm with site contact.",2025-01-01
OPM-0026,MFA token not received,User m.das does not receive MFA push/SMS on registered device after switching to a new phone. Cannot log in to any SSO app.,Access,P2,"1. Verify identity per policy before any MFA change.
2. Remove old device registration from the MFA portal.
3. Guide user through re-enrolling the new device.
4. Test SSO login to one app and confirm closure.",2024-01-26
OPM-0027,Docking station display issues,User's external monitors flicker and disconnect when laptop is docked. Direct HDMI to laptop works fine. Dock model Dell Latitude.,Hardware,P3,"1. Update dock firmware and laptop USB-C/Thunderbolt drivers.
2. Replace the dock's upstream cable with a certified cable.
3. Test with a known-good dock to isolate the unit.
4. Replace dock from stock if fault follows the unit.",2024-12-24
OPM-0028,Confluence crashes on startup,"After the latest update, Confluence crashes immediately on launch for user in HR on Windows 11. Event viewer shows faulting module.",Software,P3,"1. Clear the application cache/user profile settings folder.
2. Repair-install the application from the software portal.
3. If crash persists, roll back to previous version.
4. Log a problem record referencing the faulting module for vendor.",2024-04-28
OPM-0029,Nightly job failed on CRMDB database,The ETL batch job on CRMDB failed at step LOAD with deadlock error. Downstream Timesheet reports are stale this morning.,Database,P1,"1. Check job logs for the deadlocked session and victim query.
2. Re-run the failed step after confirming no blocking sessions.
3. Add retry-on-deadlock logic to the job (change request).
4. Validate downstream Timesheet report freshness with data team.",2024-09-17
OPM-0030,Suspicious login alert for m.das,SIEM alert: impossible-travel login for m.das — office login followed by foreign-country login within minutes.,Security,P3,"1. Disable the account immediately pending verification.
2. Contact user via phone to verify recent activity.
3. Reset credentials and revoke active sessions/tokens.
4. Review mailbox rules and audit logs for tampering.",2025-06-03
OPM-0031,Slow network in Noida office,Users at Noida site report very slow file transfers and video calls dropping since morning. Approx 25 users affected.,Network,P4,"1. Check WAN link utilisation on the Noida edge router.
2. Identify top talkers; look for backup jobs running in office hours.
3. Reschedule backup job to off-peak window.
4. Monitor link for 2 hours and confirm with site contact.",2025-02-19
OPM-0032,Account locked after failed logins,User m.das locked out of AD account after multiple failed password attempts on macOS 14. Needs urgent access for Sales work.,Access,P3,"1. Verify user identity per security policy (manager + employee ID).
2. Unlock account in Active Directory Users and Computers.
3. Reset password and enforce change at next logon.
4. Advise on password manager to prevent recurrence.",2025-06-07
OPM-0033,Docking station display issues,User's external monitors flicker and disconnect when laptop is docked. Direct HDMI to laptop works fine. Dock model Dell Latitude.,Hardware,P1,"1. Update dock firmware and laptop USB-C/Thunderbolt drivers.
2. Replace the dock's upstream cable with a certified cable.
3. Test with a known-good dock to isolate the unit.
4. Replace dock from stock if fault follows the unit.",2024-05-30
OPM-0034,Confluence crashes on startup,"After the latest update, Confluence crashes immediately on launch for user in HR on Ubuntu 22.04. Event viewer shows faulting module.",Software,P1,"1. Clear the application cache/user profile settings folder.
2. Repair-install the application from the software portal.
3. If crash persists, roll back to previous version.
4. Log a problem record referencing the faulting module for vendor.",2024-01-06
OPM-0035,Slow queries on FINDB since morning,Application team reports Timesheet timeouts; DB FINDB CPU at high utilisation. A deployment happened last night.,Database,P3,"1. Identify top queries by CPU/reads since the deployment.
2. Compare execution plans against pre-deployment baseline.
3. Update statistics / rebuild the affected index.
4. If regression confirmed, roll back the offending query change.",2025-05-31
OPM-0036,Suspicious login alert for m.das,SIEM alert: impossible-travel login for m.das — office login followed by foreign-country login within minutes.,Security,P1,"1. Disable the account immediately pending verification.
2. Contact user via phone to verify recent activity.
3. Reset credentials and revoke active sessions/tokens.
4. Review mailbox rules and audit logs for tampering.",2025-03-26
OPM-0037,Slow network in Noida office,Users at Noida site report very slow file transfers and video calls dropping since morning. Approx 12 users affected.,Network,P1,"1. Check WAN link utilisation on the Noida edge router.
2. Identify top talkers; look for backup jobs running in office hours.
3. Reschedule backup job to off-peak window.
4. Monitor link for 2 hours and confirm with site contact.",2024-08-07
OPM-0038,Access request for Confluence denied,User s.khan from Engineering cannot open Confluence; gets 403 Forbidden although manager approved access last week.,Access,P3,"1. Check user's AD group membership against Confluence access matrix.
2. Confirm the approval ticket completed provisioning workflow.
3. Add user to the correct entitlement group.
4. Ask user to re-login after 15 minutes; confirm access.",2024-01-07
OPM-0039,Printer AST-7310 not printing,Shared printer AST-7310 on floor 40 shows jobs queued but nothing prints; panel displays no error.,Hardware,P3,"1. Restart the print spooler service on the print server.
2. Clear stuck jobs from the queue.
3. Power-cycle the printer and reseat network cable.
4. Print test page; if failing, swap with spare unit and log RMA.",2024-06-18
OPM-0040,Tableau crashes on startup,"After the latest update, Tableau crashes immediately on launch for user in Procurement on Windows 11. Event viewer shows faulting module.",Software,P3,"1. Clear the application cache/user profile settings folder.
2. Repair-install the application from the software portal.
3. If crash persists, roll back to previous version.
4. Log a problem record referencing the faulting module for vendor.",2024-09-23
OPM-0041,Slow queries on ORDERSDB since morning,Application team reports SAP GUI timeouts; DB ORDERSDB CPU at high utilisation. A deployment happened last night.,Database,P2,"1. Identify top queries by CPU/reads since the deployment.
2. Compare execution plans against pre-deployment baseline.
3. Update statistics / rebuild the affected index.
4. If regression confirmed, roll back the offending query change.",2024-12-24
OPM-0042,Suspicious login alert for v.rao,SIEM alert: impossible-travel login for v.rao — office login followed by foreign-country login within minutes.,Security,P3,"1. Disable the account immediately pending verification.
2. Contact user via phone to verify recent activity.
3. Reset credentials and revoke active sessions/tokens.
4. Review mailbox rules and audit logs for tampering.",2024-08-11
OPM-0043,Slow network in Delhi office,Users at Delhi site report very slow file transfers and video calls dropping since morning. Approx 40 users affected.,Network,P2,"1. Check WAN link utilisation on the Delhi edge router.
2. Identify top talkers; look for backup jobs running in office hours.
3. Reschedule backup job to off-peak window.
4. Monitor link for 2 hours and confirm with site contact.",2025-02-10
OPM-0044,Account locked after failed logins,User a.sharma locked out of AD account after multiple failed password attempts on Windows 10. Needs urgent access for Procurement work.,Access,P3,"1. Verify user identity per security policy (manager + employee ID).
2. Unlock account in Active Directory Users and Computers.
3. Reset password and enforce change at next logon.
4. Advise on password manager to prevent recurrence.",2025-06-02
OPM-0045,Laptop not powering on,Engineering user's Lenovo ThinkPad laptop shows no power light; was working yesterday. Charger LED is off.,Hardware,P3,"1. Try a known-good charger and power outlet.
2. Perform hard reset: hold power 30 seconds without battery/AC.
3. If still dead, book replacement device from stock.
4. Raise RMA with vendor for the faulty unit.",2025-04-21
OPM-0046,Email stuck in Outbox,User on macOS 14 reports emails with attachments stay in Outbox; small emails send fine. Mailbox size near 6 GB.,Software,P3,"1. Check attachment size against the send limit.
2. Archive old mail to bring mailbox under quota.
3. Recreate the Outlook profile / clear OST cache.
4. Send test email with attachment and confirm delivery.",2025-05-21
OPM-0047,Nightly job failed on HRMSDB database,The ETL batch job on HRMSDB failed at step LOAD with deadlock error. Downstream SAP GUI reports are stale this morning.,Database,P3,"1. Check job logs for the deadlocked session and victim query.
2. Re-run the failed step after confirming no blocking sessions.
3. Add retry-on-deadlock logic to the job (change request).
4. Validate downstream SAP GUI report freshness with data team.",2024-09-04
OPM-0048,Endpoint flagged with malware on Windows 10,AV console flags trojan on Procurement user's machine AST-5521; device auto-isolated from network.,Security,P3,"1. Keep device isolated; collect AV detection details.
2. Run full offline scan and remove the detected threat.
3. Verify no lateral movement from the endpoint in EDR logs.
4. Re-image if persistence is suspected; restore user data from backup.",2024-09-06
OPM-0049,Slow network in Hyderabad office,Users at Hyderabad site report very slow file transfers and video calls dropping since morning. Approx 25 users affected.,Network,P2,"1. Check WAN link utilisation on the Hyderabad edge router.
2. Identify top talkers; look for backup jobs running in office hours.
3. Reschedule backup job to off-peak window.
4. Monitor link for 2 hours and confirm with site contact.",2024-09-14
OPM-0050,Account locked after failed logins,User m.das locked out of AD account after multiple failed password attempts on Windows 10. Needs urgent access for Legal work.,Access,P4,"1. Verify user identity per security policy (manager + employee ID).
2. Unlock account in Active Directory Users and Computers.
3. Reset password and enforce change at next logon.
4. Advise on password manager to prevent recurrence.",2025-06-21
OPM-0051,Printer PRN-207 not printing,Shared printer PRN-207 on floor 6 shows jobs queued but nothing prints; panel displays no error.,Hardware,P4,"1. Restart the print spooler service on the print server.
2. Clear stuck jobs from the queue.
3. Power-cycle the printer and reseat network cable.
4. Print test page; if failing, swap with spare unit and log RMA.",2024-02-25
OPM-0052,License activation failure for Timesheet,User receives 'license server unreachable' when starting Timesheet. Approx 12 users in Legal affected simultaneously.,Software,P3,"1. Check license server service status and restart if stopped.
2. Verify license count not exhausted; reclaim idle seats.
3. Confirm client can reach license server port (telnet test).
4. Notify affected users and monitor for one business day.",2024-02-22
OPM-0053,Slow queries on FINDB since morning,Application team reports Confluence timeouts; DB FINDB CPU at high utilisation. A deployment happened last night.,Database,P1,"1. Identify top queries by CPU/reads since the deployment.
2. Compare execution plans against pre-deployment baseline.
3. Update statistics / rebuild the affected index.
4. If regression confirmed, roll back the offending query change.",2024-09-11
OPM-0054,Suspicious login alert for v.rao,SIEM alert: impossible-travel login for v.rao — office login followed by foreign-country login within minutes.,Security,P3,"1. Disable the account immediately pending verification.
2. Contact user via phone to verify recent activity.
3. Reset credentials and revoke active sessions/tokens.
4. Review mailbox rules and audit logs for tampering.",2024-08-04
OPM-0055,Slow network in Delhi office,Users at Delhi site report very slow file transfers and video calls dropping since morning. Approx 25 users affected.,Network,P2,"1. Check WAN link utilisation on the Delhi edge router.
2. Identify top talkers; look for backup jobs running in office hours.
3. Reschedule backup job to off-peak window.
4. Monitor link for 2 hours and confirm with site contact.",2024-02-03
OPM-0056,Access request for Timesheet denied,User r.gupta from Legal cannot open Timesheet; gets 403 Forbidden although manager approved access last week.,Access,P2,"1. Check user's AD group membership against Timesheet access matrix.
2. Confirm the approval ticket completed provisioning workflow.
3. Add user to the correct entitlement group.
4. Ask user to re-login after 15 minutes; confirm access.",2024-09-29
OPM-0057,Laptop not powering on,Finance user's MacBook Pro laptop shows no power light; was working yesterday. Charger LED is on.,Hardware,P4,"1. Try a known-good charger and power outlet.
2. Perform hard reset: hold power 30 seconds without battery/AC.
3. If still dead, book replacement device from stock.
4. Raise RMA with vendor for the faulty unit.",2024-10-05
OPM-0058,Email stuck in Outbox,User on Ubuntu 22.04 reports emails with attachments stay in Outbox; small emails send fine. Mailbox size near 6 GB.,Software,P4,"1. Check attachment size against the send limit.
2. Archive old mail to bring mailbox under quota.
3. Recreate the Outlook profile / clear OST cache.
4. Send test email with attachment and confirm delivery.",2024-08-22
OPM-0059,Database CRMDB storage almost full,Monitoring alert: data volume for CRMDB at 92% capacity and growing ~40 GB per day.,Database,P3,"1. Purge/archive per data-retention policy with app-team sign-off.
2. Shrink transaction log after log backup if applicable.
3. Extend the volume via storage change request.
4. Set early-warning alert at 80% to avoid recurrence.",2024-04-03
OPM-0060,Endpoint flagged with malware on macOS 14,AV console flags trojan on Engineering user's machine AST-7310; device auto-isolated from network.,Security,P3,"1. Keep device isolated; collect AV detection details.
2. Run full offline scan and remove the detected threat.
3. Verify no lateral movement from the endpoint in EDR logs.
4. Re-image if persistence is suspected; restore user data from backup.",2024-02-07
OPM-0061,VPN connection drops for Sales user,User in Sales reports VPN disconnects every few minutes on macOS 14. Error shown: gateway timeout. Home ISP is ACT.,Network,P3,"1. Confirm VPN client version and update if below baseline.
2. Switch VPN protocol from UDP to TCP in client settings.
3. Whitelist VPN executable in local firewall/antivirus.
4. If drops persist, capture client logs and escalate to Network L2.",2025-05-25
OPM-0062,Account locked after failed logins,User a.sharma locked out of AD account after multiple failed password attempts on macOS 14. Needs urgent access for HR work.,Access,P4,"1. Verify user identity per security policy (manager + employee ID).
2. Unlock account in Active Directory Users and Computers.
3. Reset password and enforce change at next logon.
4. Advise on password manager to prevent recurrence.",2024-01-15
OPM-0063,Printer AST-5521 not printing,Shared printer AST-5521 on floor 40 shows jobs queued but nothing prints; panel displays no error.,Hardware,P2,"1. Restart the print spooler service on the print server.
2. Clear stuck jobs from the queue.
3. Power-cycle the printer and reseat network cable.
4. Print test page; if failing, swap with spare unit and log RMA.",2025-04-28
OPM-0064,License activation failure for Expensify,User receives 'license server unreachable' when starting Expensify. Approx 25 users in Procurement affected simultaneously.,Software,P3,"1. Check license server service status and restart if stopped.
2. Verify license count not exhausted; reclaim idle seats.
3. Confirm client can reach license server port (telnet test).
4. Notify affected users and monitor for one business day.",2025-06-03
OPM-0065,Nightly job failed on CRMDB database,The ETL batch job on CRMDB failed at step LOAD with deadlock error. Downstream Expensify reports are stale this morning.,Database,P2,"1. Check job logs for the deadlocked session and victim query.
2. Re-run the failed step after confirming no blocking sessions.
3. Add retry-on-deadlock logic to the job (change request).
4. Validate downstream Expensify report freshness with data team.",2024-07-12
OPM-0066,Suspicious login alert for m.das,SIEM alert: impossible-travel login for m.das — office login followed by foreign-country login within minutes.,Security,P4,"1. Disable the account immediately pending verification.
2. Contact user via phone to verify recent activity.
3. Reset credentials and revoke active sessions/tokens.
4. Review mailbox rules and audit logs for tampering.",2024-05-09
OPM-0067,Slow network in Pune office,Users at Pune site report very slow file transfers and video calls dropping since morning. Approx 40 users affected.,Network,P3,"1. Check WAN link utilisation on the Pune edge router.
2. Identify top talkers; look for backup jobs running in office hours.
3. Reschedule backup job to off-peak window.
4. Monitor link for 2 hours and confirm with site contact.",2024-09-28
OPM-0068,MFA token not received,User s.khan does not receive MFA push/SMS on registered device after switching to a new phone. Cannot log in to any SSO app.,Access,P3,"1. Verify identity per policy before any MFA change.
2. Remove old device registration from the MFA portal.
3. Guide user through re-enrolling the new device.
4. Test SSO login to one app and confirm closure.",2024-08-28
OPM-0069,Laptop not powering on,Legal user's Lenovo ThinkPad laptop shows no power light; was working yesterday. Charger LED is blinking.,Hardware,P1,"1. Try a known-good charger and power outlet.
2. Perform hard reset: hold power 30 seconds without battery/AC.
3. If still dead, book replacement device from stock.
4. Raise RMA with vendor for the faulty unit.",2024-11-28
OPM-0070,License activation failure for Expensify,User receives 'license server unreachable' when starting Expensify. Approx 40 users in Sales affected simultaneously.,Software,P3,"1. Check license server service status and restart if stopped.
2. Verify license count not exhausted; reclaim idle seats.
3. Confirm client can reach license server port (telnet test).
4. Notify affected users and monitor for one business day.",2024-09-03
OPM-0071,Database HRMSDB storage almost full,Monitoring alert: data volume for HRMSDB at 92% capacity and growing ~6 GB per day.,Database,P3,"1. Purge/archive per data-retention policy with app-team sign-off.
2. Shrink transaction log after log backup if applicable.
3. Extend the volume via storage change request.
4. Set early-warning alert at 80% to avoid recurrence.",2025-03-28
OPM-0072,Suspicious login alert for s.khan,SIEM alert: impossible-travel login for s.khan — office login followed by foreign-country login within minutes.,Security,P3,"1. Disable the account immediately pending verification.
2. Contact user via phone to verify recent activity.
3. Reset credentials and revoke active sessions/tokens.
4. Review mailbox rules and audit logs for tampering.",2024-10-29
OPM-0073,VPN connection drops for Legal user,User in Legal reports VPN disconnects every few minutes on Ubuntu 22.04. Error shown: gateway timeout. Home ISP is ACT.,Network,P4,"1. Confirm VPN client version and update if below baseline.
2. Switch VPN protocol from UDP to TCP in client settings.
3. Whitelist VPN executable in local firewall/antivirus.
4. If drops persist, capture client logs and escalate to Network L2.",2024-07-13
OPM-0074,Access request for CRM denied,User r.gupta from Legal cannot open CRM; gets 403 Forbidden although manager approved access last week.,Access,P3,"1. Check user's AD group membership against CRM access matrix.
2. Confirm the approval ticket completed provisioning workflow.
3. Add user to the correct entitlement group.
4. Ask user to re-login after 15 minutes; confirm access.",2024-10-29
OPM-0075,Docking station display issues,User's external monitors flicker and disconnect when laptop is docked. Direct HDMI to laptop works fine. Dock model HP EliteBook.,Hardware,P1,"1. Update dock firmware and laptop USB-C/Thunderbolt drivers.
2. Replace the dock's upstream cable with a certified cable.
3. Test with a known-good dock to isolate the unit.
4. Replace dock from stock if fault follows the unit.",2024-12-12
OPM-0076,License activation failure for CRM,User receives 'license server unreachable' when starting CRM. Approx 25 users in Finance affected simultaneously.,Software,P3,"1. Check license server service status and restart if stopped.
2. Verify license count not exhausted; reclaim idle seats.
3. Confirm client can reach license server port (telnet test).
4. Notify affected users and monitor for one business day.",2024-05-06
OPM-0077,Slow queries on FINDB since morning,Application team reports CRM timeouts; DB FINDB CPU at high utilisation. A deployment happened last night.,Database,P3,"1. Identify top queries by CPU/reads since the deployment.
2. Compare execution plans against pre-deployment baseline.
3. Update statistics / rebuild the affected index.
4. If regression confirmed, roll back the offending query change.",2024-03-05
OPM-0078,Suspicious login alert for r.gupta,SIEM alert: impossible-travel login for r.gupta — office login followed by foreign-country login within minutes.,Security,P3,"1. Disable the account immediately pending verification.
2. Contact user via phone to verify recent activity.
3. Reset credentials and revoke active sessions/tokens.
4. Review mailbox rules and audit logs for tampering.",2025-02-01
OPM-0079,Cannot reach internal portal Confluence,"Multiple users report Confluence unreachable from office LAN, browser shows DNS_PROBE_FINISHED_NXDOMAIN. Wi-Fi segment VLAN-42.",Network,P3,"1. Verify DNS resolution with nslookup against corporate DNS.
2. Flush client DNS cache (ipconfig /flushdns).
3. Check VLAN VLAN-42 DNS forwarder configuration.
4. Raise change request to correct forwarder entry if wrong.",2025-03-30
OPM-0080,Account locked after failed logins,User a.sharma locked out of AD account after multiple failed password attempts on Windows 11. Needs urgent access for Sales work.,Access,P2,"1. Verify user identity per security policy (manager + employee ID).
2. Unlock account in Active Directory Users and Computers.
3. Reset password and enforce change at next logon.
4. Advise on password manager to prevent recurrence.",2024-04-03
OPM-0081,Docking station display issues,User's external monitors flicker and disconnect when laptop is docked. Direct HDMI to laptop works fine. Dock model Lenovo ThinkPad.,Hardware,P2,"1. Update dock firmware and laptop USB-C/Thunderbolt drivers.
2. Replace the dock's upstream cable with a certified cable.
3. Test with a known-good dock to isolate the unit.
4. Replace dock from stock if fault follows the unit.",2024-12-02
OPM-0082,Email stuck in Outbox,User on macOS 14 reports emails with attachments stay in Outbox; small emails send fine. Mailbox size near 6 GB.,Software,P2,"1. Check attachment size against the send limit.
2. Archive old mail to bring mailbox under quota.
3. Recreate the Outlook profile / clear OST cache.
4. Send test email with attachment and confirm delivery.",2025-01-01
OPM-0083,Database ORDERSDB storage almost full,Monitoring alert: data volume for ORDERSDB at 92% capacity and growing ~40 GB per day.,Database,P3,"1. Purge/archive per data-retention policy with app-team sign-off.
2. Shrink transaction log after log backup if applicable.
3. Extend the volume via storage change request.
4. Set early-warning alert at 80% to avoid recurrence.",2025-04-04
OPM-0084,Suspicious login alert for a.sharma,SIEM alert: impossible-travel login for a.sharma — office login followed by foreign-country login within minutes.,Security,P3,"1. Disable the account immediately pending verification.
2. Contact user via phone to verify recent activity.
3. Reset credentials and revoke active sessions/tokens.
4. Review mailbox rules and audit logs for tampering.",2025-02-15
OPM-0085,Slow network in Hyderabad office,Users at Hyderabad site report very slow file transfers and video calls dropping since morning. Approx 25 users affected.,Network,P4,"1. Check WAN link utilisation on the Hyderabad edge router.
2. Identify top talkers; look for backup jobs running in office hours.
3. Reschedule backup job to off-peak window.
4. Monitor link for 2 hours and confirm with site contact.",2025-01-25
OPM-0086,MFA token not received,User m.das does not receive MFA push/SMS on registered device after switching to a new phone. Cannot log in to any SSO app.,Access,P3,"1. Verify identity per policy before any MFA change.
2. Remove old device registration from the MFA portal.
3. Guide user through re-enrolling the new device.
4. Test SSO login to one app and confirm closure.",2024-12-13
OPM-0087,Printer AST-7310 not printing,Shared printer AST-7310 on floor 6 shows jobs queued but nothing prints; panel displays no error.,Hardware,P1,"1. Restart the print spooler service on the print server.
2. Clear stuck jobs from the queue.
3. Power-cycle the printer and reseat network cable.
4. Print test page; if failing, swap with spare unit and log RMA.",2024-03-28
OPM-0088,License activation failure for Tableau,User receives 'license server unreachable' when starting Tableau. Approx 25 users in Finance affected simultaneously.,Software,P1,"1. Check license server service status and restart if stopped.
2. Verify license count not exhausted; reclaim idle seats.
3. Confirm client can reach license server port (telnet test).
4. Notify affected users and monitor for one business day.",2025-03-09
